Amount,Merchant,Timestamp,Description,Category
4,Vending Machine,2024-04-15T12:00:00Z,Quick snack,Food
35,Airport Shuttle,2024-04-16T06:00:00Z,Ride to the airport,Transport
22.99,The Athletic,2024-04-16T10:00:00Z,Sports news subscription,Subscription
95,Sephora,2024-04-17T14:30:00Z,Makeup and skincare,Shopping
88,Waste Management,2024-04-18T09:00:00Z,Trash collection service,Utilities
8.5,Restaurant A,2024-04-18T19:00:00Z,Dinner out,Food
17,Bus Fare,2024-04-19T07:30:00Z,Weekly bus pass,Transport
10.99,Amazon Prime,2024-04-19T11:00:00Z,Annual Prime renewal,Subscription
100,Amazon,2024-04-20T16:00:00Z,New pet supplies,Shopping
140,Electricity Company,2024-04-21T09:00:00Z,Monthly electricity bill,Utilities
7.5,Smoothie King,2024-04-21T11:00:00Z,Post-workout smoothie,Food
20,Public Transport,2024-04-22T08:00:00Z,Weekly transport pass,Transport
12.99,Spotify Family,2024-04-22T12:00:00Z,Music streaming subscription,Subscription
110,Nike,2024-04-23T15:00:00Z,New running shoes,Shopping
115,City Utilities,2024-04-24T09:00:00Z,Combined water and trash bill,Utilities
5.5,Deli,2024-04-24T12:00:00Z,Sandwich for lunch,Food
14,Taxi,2024-04-25T10:00:00Z,Cab ride to the store,Transport
16.99,Peacock,2024-04-25T14:00:00Z,Streaming service,Subscription
120,Best Buy,2024-04-26T16:00:00Z,New video game console,Shopping
90,Gas Bill,2024-04-27T09:00:00Z,Monthly gas charge,Utilities
6,Coffee Shop,2024-04-27T11:00:00Z,Coffee,Food
33,Railroad Ticket,2024-04-28T07:00:00Z,Commuter train ticket,Transport
15.99,HBO Max,2024-04-28T10:00:00Z,Entertainment subscription,Subscription
75,Electronics Store,2024-04-29T15:00:00Z,New phone charger,Shopping
105,Water Bill Co.,2024-04-30T09:00:00Z,Quarterly water payment,Utilities
4.5,Vending Machine,2024-04-30T14:00:00Z,Drink and a snack,Food
16,Uber,2024-05-01T09:00:00Z,Ride to work,Transport
10.99,Apple TV+,2024-05-01T12:00:00Z,Monthly streaming fee,Subscription
55,Online Art Store,2024-05-02T11:15:00Z,Art supplies,Shopping
85,Internet Service,2024-05-03T09:30:00Z,Monthly internet fee,Utilities
10,Lunch Spot,2024-05-03T12:30:00Z,Quick lunch,Food
22,Public Transport,2024-05-04T07:40:00Z,Weekly bus pass,Transport
15.99,Disney+,2024-05-04T11:00:00Z,Monthly streaming service,Subscription
125,Clothing Store,2024-05-05T16:00:00Z,New jacket,Shopping
90,Gas Bill,2024-05-06T09:00:00Z,Monthly gas charge,Utilities
10,Lunch Spot,2024-05-06T12:30:00Z,Quick lunch,Food
33,Railroad Ticket,2024-05-07T07:00:00Z,Commuter train ticket,Transport
22.99,The Athletic,2024-05-07T10:00:00Z,Sports news subscription,Subscription
75,Electronics Store,2024-05-08T15:00:00Z,New headphones,Shopping
115,City Utilities,2024-05-09T09:00:00Z,Combined water and trash bill,Utilities
6.5,Smoothie Bar,2024-05-09T11:00:00Z,Morning smoothie,Food
18,Uber,2024-05-10T10:00:00Z,Ride to the gym,Transport
10.99,HBO Max,2024-05-10T12:00:00Z,Entertainment subscription,Subscription
50,Etsy,2024-05-11T14:00:00Z,Handmade gift,Shopping
140,Power Company,2024-05-12T09:00:00Z,Electricity bill,Utilities
8,Local Bakery,2024-05-12T16:00:00Z,Afternoon snack,Food
25,Bus Service,2024-05-13T07:30:00Z,Bus fare,Transport
16.99,Peacock,2024-05-13T12:00:00Z,TV streaming service,Subscription
100,Amazon,2024-05-14T15:00:00Z,Misc household items,Shopping
110,Gas & Water,2024-05-15T09:00:00Z,Monthly utility payment,Utilities
9.5,Food Truck,2024-05-15T13:00:00Z,Lunch from a food truck,Food
15,Taxi,2024-05-16T11:00:00Z,Cab ride,Transport
19.99,Apple TV+,2024-05-16T16:00:00Z,Streaming subscription,Subscription
65,Target,2024-05-17T10:00:00Z,Groceries and some home goods,Shopping
95,Internet Bill,2024-05-18T09:00:00Z,Monthly fee,Utilities
4.25,Corner Store,2024-05-18T14:00:00Z,Cold drink and chips,Food
28,Train Ticket,2024-05-19T08:00:00Z,Ticket for the metro,Transport
12.99,Spotify Family,2024-05-19T12:00:00Z,Music subscription,Subscription
70,Home Goods,2024-05-20T16:00:00Z,New lamp,Shopping
130,Electric Company,2024-05-21T09:00:00Z,Utility bill,Utilities
7,Cafe,2024-05-21T11:00:00Z,Morning coffee,Food
11,Uber,2024-05-22T09:00:00Z,Short trip,Transport
15.99,Hulu No Ads,2024-05-22T13:00:00Z,Streaming service,Subscription
80,Bookstore,2024-05-23T10:00:00Z,Books,Shopping
105,Water Bill,2024-05-24T09:00:00Z,Water and sewer,Utilities
3.5,Deli,2024-05-24T12:00:00Z,Lunch,Food
17,Bus Pass,2024-05-25T08:00:00Z,Weekly pass,Transport
8.99,Audible,2024-05-25T11:00:00Z,Audiobook subscription,Subscription
55,Grocery Store,2024-05-26T15:00:00Z,Groceries,Food
125,Clothing Store,2024-05-27T10:00:00Z,New jeans,Shopping
85,Internet Provider,2024-05-28T09:00:00Z,Monthly internet service,Utilities
25,Pizzeria,2024-05-28T19:00:00Z,Pizza,Food
14,Taxi,2024-05-29T11:00:00Z,Cab fare,Transport
19.99,Spotify,2024-05-29T14:00:00Z,Premium music service,Subscription
90,Home Decor,2024-05-30T16:00:00Z,New curtains,Shopping
115,Utilities,2024-05-31T09:00:00Z,Combined bill,Utilities
6,Coffee Shop,2024-05-31T10:00:00Z,Coffee,Food
18.5,Metro,2024-06-01T08:00:00Z,Subway fare,Transport
15.99,Netflix,2024-06-01T12:00:00Z,Monthly streaming service,Subscription
75,Electronics,2024-06-02T15:00:00Z,Computer mouse,Shopping
100,Gas Company,2024-06-03T09:00:00Z,Monthly gas bill,Utilities
8.5,Restaurant,2024-06-03T19:00:00Z,Dinner,Food
22,Bus Fare,2024-06-04T07:00:00Z,Round trip ticket,Transport
10.99,Amazon Prime,2024-06-04T14:00:00Z,Subscription renewal,Subscription
120,Clothing Store,2024-06-05T16:00:00Z,New jacket,Shopping
130,Internet Bill,2024-06-06T09:00:00Z,Monthly fee,Utilities
5.25,Bakery,2024-06-06T11:00:00Z,Pastries,Food
13,Uber,2024-06-07T10:00:00Z,Ride to the mall,Transport
8.99,Hulu,2024-06-07T13:00:00Z,Streaming service,Subscription
60,Sporting Goods,2024-06-08T15:00:00Z,Running shorts,Shopping
95,Water Bill,2024-06-09T09:00:00Z,Quarterly bill,Utilities
3,Snack,2024-06-09T14:00:00Z,Chips and soda,Food
19.5,Train,2024-06-10T08:00:00Z,Commuter ticket,Transport
19.99,NYT Digital,2024-06-10T10:00:00Z,Online news subscription,Subscription
70,Bookstore,2024-06-11T16:00:00Z,New books,Shopping
140,Electricity,2024-06-12T09:00:00Z,Monthly bill,Utilities
7.5,Smoothie Bar,2024-06-12T12:00:00Z,Morning smoothie,Food
28,Bus,2024-06-13T07:30:00Z,Weekly pass,Transport
15.99,Disney+,2024-06-13T11:00:00Z,Streaming service,Subscription
110,Home Goods,2024-06-14T15:00:00Z,New throw pillows,Shopping
80,Phone Bill,2024-06-15T09:00:00Z,Monthly service,Utilities
4.5,Bakery,2024-06-15T14:00:00Z,Pastries,Food
12,Cab,2024-06-16T08:00:00Z,Ride to the airport,Transport
22.99,The Athletic,2024-06-16T12:00:00Z,Sports news subscription,Subscription
90,Furniture Store,2024-06-17T16:00:00Z,Small bookshelf,Shopping
115,Utilities,2024-06-18T09:00:00Z,Combined bill,Utilities
6.5,Coffee Shop,2024-06-18T10:00:00Z,Morning coffee,Food
20,Public Transport,2024-06-19T08:00:00Z,Weekly pass,Transport
10.99,HBO Max,2024-06-19T12:00:00Z,Entertainment subscription,Subscription
150,Electronics,2024-06-20T14:00:00Z,New laptop,Shopping
100,Gas & Electric,2024-06-21T09:00:00Z,Combined utility bill,Utilities
9.5,Food Truck,2024-06-21T13:00:00Z,Lunch from a food truck,Food
17,Taxi,2024-06-22T11:00:00Z,Cab ride,Transport
19.99,Apple Music,2024-06-22T16:00:00Z,Family music subscription,Subscription
65,Target,2024-06-23T10:00:00Z,Groceries and some home goods,Shopping
125,Internet Bill,2024-06-24T09:00:00Z,Monthly fee,Utilities
7,Cafe,2024-06-24T14:00:00Z,Afternoon coffee,Food
31,Train Services,2024-06-25T08:00:00Z,Round trip ticket,Transport
16.99,Peacock,2024-06-25T12:00:00Z,TV streaming service,Subscription
120,Clothing Store,2024-06-26T15:00:00Z,New sweater,Shopping
90,Gas Bill,2024-06-27T09:00:00Z,Monthly gas charge,Utilities
8,Restaurant,2024-06-27T19:00:00Z,Dinner,Food
25,Bus Service,2024-06-28T07:30:00Z,Bus fare,Transport
15.99,Netflix,2024-06-28T11:00:00Z,Streaming service,Subscription
75,Electronics Store,2024-06-29T16:00:00Z,New phone case,Shopping
115,City Utilities,2024-06-30T09:00:00Z,Combined water and trash bill,Utilities
5.5,Snack Vending,2024-06-30T14:00:00Z,Quick snack,Food
18.5,Metro Transit,2024-07-01T08:45:00Z,Subway fare,Transport
12.99,Spotify Family,2024-07-01T13:00:00Z,Music subscription,Subscription
100,Amazon,2024-07-02T11:15:00Z,Holiday shopping,Shopping
140,Power Company,2024-07-03T09:30:00Z,Electricity bill,Utilities
4.25,Corner Store,2024-07-03T14:00:00Z,Cold drink and chips,Food
22,Public Transport,2024-07-04T07:40:00Z,Weekly pass,Transport
8.99,Audible,2024-07-04T11:00:00Z,Audiobook subscription,Subscription
60,Sporting Goods,2024-07-05T15:00:00Z,New sports gear,Shopping
95,Internet Bill,2024-07-06T09:00:00Z,Monthly fee,Utilities
10,Lunch Spot,2024-07-06T12:30:00Z,Quick lunch,Food
14,Uber,2024-07-07T07:00:00Z,Morning ride,Transport
19.99,NYT Digital,2024-07-07T10:00:00Z,Online news subscription,Subscription
150,Department Store,2024-07-08T16:00:00Z,New kitchen appliance,Shopping
110,Gas & Water,2024-07-09T09:00:00Z,Monthly utility payment,Utilities
3.25,Bakery,2024-07-09T18:00:00Z,A loaf of fresh bread,Food
15,Dunkin' Donuts,2024-07-10T09:00:00Z,Coffee and donuts for the team,Food
12,Uber,2024-07-10T11:45:00Z,Ride to the doctor's office,Transport
15.99,Netflix,2024-07-11T08:00:00Z,Monthly streaming service subscription,Subscription
65.75,Online Retailer B,2024-07-11T14:20:00Z,New book and a pair of socks,Shopping
80,Electricity Company,2024-07-12T09:10:00Z,Utility bill for July,Utilities
4.5,Coffee Shop C,2024-07-12T16:05:00Z,Morning coffee and a croissant,Food
22,City Bus Co.,2024-07-13T07:55:00Z,Monthly bus pass,Transport
19.99,Spotify,2024-07-13T12:00:00Z,Premium music service,Subscription
120.5,Restaurant D,2024-07-14T20:15:00Z,Dinner with friends,Food
45,Gas Station E,2024-07-15T09:30:00Z,Fuel for the car,Transport
35,Online Clothing Store,2024-07-15T15:45:00Z,New t-shirt and jeans,Shopping
95,Water & Sewer Department,2024-07-16T11:00:00Z,Monthly water bill,Utilities
3.25,Bakery F,2024-07-16T18:00:00Z,A loaf of fresh bread,Food
28,Train Services,2024-07-17T08:10:00Z,Round trip ticket to the city center,Transport
8.99,Hulu,2024-07-17T13:30:00Z,Streaming TV service,Subscription
55,Bookstore G,2024-07-18T10:00:00Z,Two new novels,Shopping
110,Internet Provider,2024-07-19T09:45:00Z,Internet service for the month,Utilities
7.5,Local Cafe,2024-07-19T15:30:00Z,Coffee and a pastry,Food
14,Taxi Service H,2024-07-20T09:05:00Z,Short taxi ride,Transport
10.99,Amazon Prime,2024-07-20T16:00:00Z,Annual Prime subscription renewal,Subscription
150,Department Store I,2024-07-21T11:20:00Z,New kitchen appliance,Shopping
42.3,Corner Market,2024-07-22T09:00:00Z,Snacks and drinks for the road,Food
18.5,Metro Transit,2024-07-22T17:30:00Z,Subway fare,Transport
29.99,YouTube Premium,2024-07-23T08:00:00Z,Ad-free video subscription,Subscription
88,Home Depot,2024-07-23T12:45:00Z,Hardware for a DIY project,Shopping
75,Phone Company,2024-07-24T10:00:00Z,Monthly phone bill,Utilities
6.5,Pizzeria,2024-07-24T19:00:00Z,A slice of pizza and a soda,Food
31,Airport Shuttle,2024-07-25T06:00:00Z,Ride to the airport,Transport
9.99,Audible,2024-07-25T11:00:00Z,Audiobook subscription,Subscription
60,Sporting Goods,2024-07-26T14:30:00Z,Running shoes,Shopping
130,Gas & Electric,2024-07-27T09:00:00Z,Combined utility bill,Utilities
4,Deli,2024-07-27T12:00:00Z,Sandwich for lunch,Food
17.5,Bus Pass Office,2024-07-28T08:30:00Z,Weekly bus pass,Transport
14.99,NYT Digital,2024-07-28T10:00:00Z,Online newspaper subscription,Subscription
90,Furniture Store,2024-07-29T16:00:00Z,Small side table,Shopping
105,Water Bill Co.,2024-07-30T10:00:00Z,Quarterly water payment,Utilities
16,Sushi Shop,2024-07-30T20:00:00Z,Takeout dinner,Food
11.5,Uber,2024-07-31T08:45:00Z,Ride to work,Transport
19.99,Apple Music,2024-07-31T13:00:00Z,Family music subscription,Subscription
25,Online Art Store,2024-08-01T11:15:00Z,Digital art prints,Shopping
85,Internet Service,2024-08-02T09:30:00Z,Monthly internet fee,Utilities
5.5,Snack Vending,2024-08-02T14:00:00Z,Quick snack,Food
20,Public Transport,2024-08-03T07:40:00Z,Weekly pass,Transport
15.99,Disney+,2024-08-03T11:00:00Z,Monthly streaming service,Subscription
125,Clothing Store,2024-08-04T16:00:00Z,New jacket,Shopping
90,Gas Bill,2024-08-05T09:00:00Z,Monthly gas charge,Utilities
10,Lunch Spot,2024-08-05T12:30:00Z,Quick lunch,Food
33,Railroad Ticket,2024-08-06T07:00:00Z,Commuter train ticket,Transport
22.99,The Athletic,2024-08-06T10:00:00Z,Sports news subscription,Subscription
75,Electronics Store,2024-08-07T15:00:00Z,New headphones,Shopping
115,City Utilities,2024-08-08T09:00:00Z,Combined water and trash bill,Utilities
6.5,Smoothie Bar,2024-08-08T11:00:00Z,Morning smoothie,Food
18,Uber,2024-08-09T10:00:00Z,Ride to the gym,Transport
10.99,HBO Max,2024-08-09T12:00:00Z,Entertainment subscription,Subscription
50,Etsy,2024-08-10T14:00:00Z,Handmade gift,Shopping
140,Power Company,2024-08-11T09:00:00Z,Electricity bill,Utilities
8,Local Bakery,2024-08-11T16:00:00Z,Afternoon snack,Food
25,Bus Service,2024-08-12T07:30:00Z,Bus fare,Transport
16.99,Peacock,2024-08-12T12:00:00Z,TV streaming service,Subscription
100,Amazon,2024-08-13T15:00:00Z,Misc household items,Shopping
110,Gas & Water,2024-08-14T09:00:00Z,Monthly utility payment,Utilities
9.5,Food Truck,2024-08-14T13:00:00Z,Lunch from a food truck,Food
15,Taxi,2024-08-15T11:00:00Z,Cab ride,Transport
19.99,Apple TV+,2024-08-15T16:00:00Z,Streaming subscription,Subscription
65,Target,2024-08-16T10:00:00Z,Groceries and some home goods,Shopping
95,Internet Bill,2024-08-17T09:00:00Z,Monthly fee,Utilities
4.25,Corner Store,2024-08-17T14:00:00Z,Cold drink and chips,Food
28,Train Ticket,2024-08-18T08:00:00Z,Ticket for the metro,Transport
12.99,Spotify Family,2024-08-18T12:00:00Z,Music subscription,Subscription
70,Home Goods,2024-08-19T16:00:00Z,New lamp,Shopping
130,Electric Company,2024-08-20T09:00:00Z,Utility bill,Utilities
7,Cafe,2024-08-20T11:00:00Z,Morning coffee,Food
11,Uber,2024-08-21T09:00:00Z,Short trip,Transport
15.99,Hulu No Ads,2024-08-21T13:00:00Z,Streaming service,Subscription
80,Bookstore,2024-08-22T10:00:00Z,Books,Shopping
105,Water Bill,2024-08-23T09:00:00Z,Water and sewer,Utilities
3.5,Deli,2024-08-23T12:00:00Z,Lunch,Food
17,Bus Pass,2024-08-24T08:00:00Z,Weekly pass,Transport
8.99,Audible,2024-08-24T11:00:00Z,Audiobook subscription,Subscription
55,Grocery Store,2024-08-25T15:00:00Z,Groceries,Food
125,Clothing Store,2024-08-26T10:00:00Z,New jeans,Shopping
85,Internet Provider,2024-08-27T09:00:00Z,Monthly internet service,Utilities
25,Pizzeria,2024-08-27T19:00:00Z,Pizza,Food
14,Taxi,2024-08-28T11:00:00Z,Cab fare,Transport
19.99,Spotify,2024-08-28T14:00:00Z,Premium music service,Subscription
90,Home Decor,2024-08-29T16:00:00Z,New curtains,Shopping
115,Utilities,2024-08-30T09:00:00Z,Combined bill,Utilities
6,Coffee Shop,2024-08-30T10:00:00Z,Coffee,Food
18.5,Metro,2024-08-31T08:00:00Z,Subway fare,Transport
15.99,Netflix,2024-08-31T12:00:00Z,Monthly streaming service,Subscription
75,Electronics,2024-09-01T15:00:00Z,Computer mouse,Shopping
100,Gas Company,2024-09-02T09:00:00Z,Monthly gas bill,Utilities
8.5,Restaurant,2024-09-02T19:00:00Z,Dinner,Food
22,Bus Fare,2024-09-03T07:00:00Z,Round trip ticket,Transport
10.99,Amazon Prime,2024-09-03T14:00:00Z,Subscription renewal,Subscription
120,Clothing Store,2024-09-04T16:00:00Z,New jacket,Shopping
130,Internet Bill,2024-09-05T09:00:00Z,Monthly fee,Utilities
5.25,Bakery,2024-09-05T11:00:00Z,Pastries,Food
13,Uber,2024-09-06T10:00:00Z,Ride to the mall,Transport
8.99,Hulu,2024-09-06T13:00:00Z,Streaming service,Subscription
60,Sporting Goods,2024-09-07T15:00:00Z,Running shorts,Shopping
95,Water Bill,2024-09-08T09:00:00Z,Quarterly bill,Utilities
3,Snack,2024-09-08T14:00:00Z,Chips and soda,Food
19.5,Train,2024-09-09T08:00:00Z,Commuter ticket,Transport
19.99,NYT Digital,2024-09-09T10:00:00Z,Online news subscription,Subscription
70,Bookstore,2024-09-10T16:00:00Z,New books,Shopping
140,Electricity,2024-09-11T09:00:00Z,Monthly bill,Utilities
7.5,Smoothie Bar,2024-09-11T12:00:00Z,Morning smoothie,Food
28,Bus,2024-09-12T07:30:00Z,Weekly pass,Transport
15.99,Disney+,2024-09-12T11:00:00Z,Streaming service,Subscription
110,Home Goods,2024-09-13T15:00:00Z,New throw pillows,Shopping
80,Phone Bill,2024-09-14T09:00:00Z,Monthly service,Utilities
4.5,Bakery,2024-09-14T14:00:00Z,Pastries,Food
12,Cab,2024-09-15T08:00:00Z,Ride to the airport,Transport
22.99,The Athletic,2024-09-15T12:00:00Z,Sports news subscription,Subscription
90,Furniture Store,2024-09-16T16:00:00Z,Small bookshelf,Shopping
115,Utilities,2024-09-17T09:00:00Z,Combined bill,Utilities
6.5,Coffee Shop,2024-09-17T10:00:00Z,Morning coffee,Food
20,Public Transport,2024-09-18T08:00:00Z,Weekly pass,Transport
10.99,HBO Max,2024-09-18T12:00:00Z,Entertainment subscription,Subscription
150,Electronics,2024-09-19T14:00:00Z,New laptop,Shopping
100,Gas & Electric,2024-09-20T09:00:00Z,Combined utility bill,Utilities
9.5,Food Truck,2024-09-20T13:00:00Z,Lunch from a food truck,Food
17,Taxi,2024-09-21T11:00:00Z,Cab ride,Transport
19.99,Apple Music,2024-09-21T16:00:00Z,Family music subscription,Subscription
65,Target,2024-09-22T10:00:00Z,Groceries and some home goods,Shopping
125,Internet Bill,2024-09-23T09:00:00Z,Monthly fee,Utilities
7,Cafe,2024-09-23T14:00:00Z,Afternoon coffee,Food
31,Train Services,2024-09-24T08:00:00Z,Round trip ticket,Transport
16.99,Peacock,2024-09-24T12:00:00Z,TV streaming service,Subscription
120,Clothing Store,2024-09-25T15:00:00Z,New sweater,Shopping
90,Gas Bill,2024-09-26T09:00:00Z,Monthly gas charge,Utilities
8,Restaurant,2024-09-26T19:00:00Z,Dinner,Food
25,Bus Service,2024-09-27T07:30:00Z,Bus fare,Transport
15.99,Netflix,2024-09-27T11:00:00Z,Streaming service,Subscription
75,Electronics Store,2024-09-28T16:00:00Z,New phone case,Shopping
115,City Utilities,2024-09-29T09:00:00Z,Combined water and trash bill,Utilities
5.5,Snack Vending,2024-09-29T14:00:00Z,Quick snack,Food
18.5,Metro Transit,2024-09-30T08:45:00Z,Subway fare,Transport
12.99,Spotify Family,2024-09-30T13:00:00Z,Music subscription,Subscription
100,Amazon,2024-10-01T11:15:00Z,Holiday shopping,Shopping
140,Power Company,2024-10-02T09:30:00Z,Electricity bill,Utilities
4.25,Corner Store,2024-10-02T14:00:00Z,Cold drink and chips,Food
22,Public Transport,2024-10-03T07:40:00Z,Weekly pass,Transport
8.99,Audible,2024-10-03T11:00:00Z,Audiobook subscription,Subscription
60,Sporting Goods,2024-10-04T15:00:00Z,New sports gear,Shopping
95,Internet Bill,2024-10-05T09:00:00Z,Monthly fee,Utilities
10,Lunch Spot,2024-10-05T12:30:00Z,Quick lunch,Food
14,Uber,2024-10-06T07:00:00Z,Morning ride,Transport
19.99,NYT Digital,2024-10-06T10:00:00Z,Online news subscription,Subscription
150,Department Store,2024-10-07T16:00:00Z,New kitchen appliance,Shopping
110,Gas & Water,2024-10-08T09:00:00Z,Monthly utility payment,Utilities
3.25,Bakery,2024-10-08T18:00:00Z,A loaf of fresh bread,Food
15,Dunkin' Donuts,2024-10-09T09:00:00Z,Coffee and donuts for the team,Food
12,Uber,2024-10-09T11:45:00Z,Ride to the doctor's office,Transport
15.99,Netflix,2024-10-10T08:00:00Z,Monthly streaming service subscription,Subscription
65.75,Online Retailer B,2024-10-10T14:20:00Z,New book and a pair of socks,Shopping
80,Electricity Company,2024-10-11T09:10:00Z,Utility bill for October,Utilities
4.5,Coffee Shop C,2024-10-11T16:05:00Z,Morning coffee and a croissant,Food
22,City Bus Co.,2024-10-12T07:55:00Z,Monthly bus pass,Transport
19.99,Spotify,2024-10-12T12:00:00Z,Premium music service,Subscription
120.5,Restaurant D,2024-10-13T20:15:00Z,Dinner with friends,Food
45,Gas Station E,2024-10-14T09:30:00Z,Fuel for the car,Transport
35,Online Clothing Store,2024-10-14T15:45:00Z,New t-shirt and jeans,Shopping
95,Water & Sewer Department,2024-10-15T11:00:00Z,Monthly water bill,Utilities
3.25,Bakery F,2024-10-15T18:00:00Z,A loaf of fresh bread,Food
28,Train Services,2024-10-16T08:10:00Z,Round trip ticket to the city center,Transport
8.99,Hulu,2024-10-16T13:30:00Z,Streaming TV service,Subscription
55,Bookstore G,2024-10-17T10:00:00Z,Two new novels,Shopping
110,Internet Provider,2024-10-18T09:45:00Z,Internet service for the month,Utilities
7.5,Local Cafe,2024-10-18T15:30:00Z,Coffee and a pastry,Food
14,Taxi Service H,2024-10-19T09:05:00Z,Short taxi ride,Transport
10.99,Amazon Prime,2024-10-19T16:00:00Z,Annual Prime subscription renewal,Subscription
150,Department Store I,2024-10-20T11:20:00Z,New kitchen appliance,Shopping
42.3,Corner Market,2024-10-21T09:00:00Z,Snacks and drinks for the road,Food
18.5,Metro Transit,2024-10-21T17:30:00Z,Subway fare,Transport
29.99,YouTube Premium,2024-10-22T08:00:00Z,Ad-free video subscription,Subscription
88,Home Depot,2024-10-22T12:45:00Z,Hardware for a DIY project,Shopping
75,Phone Company,2024-10-23T10:00:00Z,Monthly phone bill,Utilities
6.5,Pizzeria,2024-10-23T19:00:00Z,A slice of pizza and a soda,Food
31,Airport Shuttle,2024-10-24T06:00:00Z,Ride to the airport,Transport
9.99,Audible,2024-10-24T11:00:00Z,Audiobook subscription,Subscription
60,Sporting Goods,2024-10-25T14:30:00Z,Running shoes,Shopping
130,Gas & Electric,2024-10-26T09:00:00Z,Combined utility bill,Utilities
4,Deli,2024-10-26T12:00:00Z,Sandwich for lunch,Food
17.5,Bus Pass Office,2024-10-27T08:30:00Z,Weekly bus pass,Transport
14.99,NYT Digital,2024-10-27T10:00:00Z,Online newspaper subscription,Subscription
90,Furniture Store,2024-10-28T16:00:00Z,Small side table,Shopping
105,Water Bill Co.,2024-10-29T10:00:00Z,Quarterly water payment,Utilities
16,Sushi Shop,2024-10-29T20:00:00Z,Takeout dinner,Food
11.5,Uber,2024-10-30T08:45:00Z,Ride to work,Transport
19.99,Apple Music,2024-10-30T13:00:00Z,Family music subscription,Subscription
25,Online Art Store,2024-10-31T11:15:00Z,Digital art prints,Shopping
85,Internet Service,2024-10-31T09:30:00Z,Monthly internet fee,Utilities
5.5,Snack Vending,2024-10-31T14:00:00Z,Quick snack,Food
20,Public Transport,2024-11-01T07:40:00Z,Weekly pass,Transport
15.99,Disney+,2024-11-01T11:00:00Z,Monthly streaming service,Subscription
125,Clothing Store,2024-11-02T16:00:00Z,New jacket,Shopping
90,Gas Bill,2024-11-03T09:00:00Z,Monthly gas charge,Utilities
10,Lunch Spot,2024-11-03T12:30:00Z,Quick lunch,Food
33,Railroad Ticket,2024-11-04T07:00:00Z,Commuter train ticket,Transport
22.99,The Athletic,2024-11-04T10:00:00Z,Sports news subscription,Subscription
75,Electronics Store,2024-11-05T15:00:00Z,New headphones,Shopping
115,City Utilities,2024-11-06T09:00:00Z,Combined water and trash bill,Utilities
6.5,Smoothie Bar,2024-11-06T11:00:00Z,Morning smoothie,Food
18,Uber,2024-11-07T10:00:00Z,Ride to the gym,Transport
10.99,HBO Max,2024-11-07T12:00:00Z,Entertainment subscription,Subscription
50,Etsy,2024-11-08T14:00:00Z,Handmade gift,Shopping
140,Power Company,2024-11-09T09:00:00Z,Electricity bill,Utilities
8,Local Bakery,2024-11-09T16:00:00Z,Afternoon snack,Food
25,Bus Service,2024-11-10T07:30:00Z,Bus fare,Transport
16.99,Peacock,2024-11-10T12:00:00Z,TV streaming service,Subscription
100,Amazon,2024-11-11T15:00:00Z,Misc household items,Shopping
110,Gas & Water,2024-11-12T09:00:00Z,Monthly utility payment,Utilities
9.5,Food Truck,2024-11-12T13:00:00Z,Lunch from a food truck,Food
15,Taxi,2024-11-13T11:00:00Z,Cab ride,Transport
19.99,Apple TV+,2024-11-13T16:00:00Z,Streaming subscription,Subscription
65,Target,2024-11-14T10:00:00Z,Groceries and some home goods,Shopping
95,Internet Bill,2024-11-15T09:00:00Z,Monthly fee,Utilities
4.25,Corner Store,2024-11-15T14:00:00Z,Cold drink and chips,Food
28,Train Ticket,2024-11-16T08:00:00Z,Ticket for the metro,Transport
12.99,Spotify Family,2024-11-16T12:00:00Z,Music subscription,Subscription
70,Home Goods,2024-11-17T16:00:00Z,New lamp,Shopping
130,Electric Company,2024-11-18T09:00:00Z,Utility bill,Utilities
7,Cafe,2024-11-18T11:00:00Z,Morning coffee,Food
11,Uber,2024-11-19T09:00:00Z,Short trip,Transport
15.99,Hulu No Ads,2024-11-19T13:00:00Z,Streaming service,Subscription
80,Bookstore,2024-11-20T10:00:00Z,Books,Shopping
105,Water Bill,2024-11-21T09:00:00Z,Water and sewer,Utilities
3.5,Deli,2024-11-21T12:00:00Z,Lunch,Food
17,Bus Pass,2024-11-22T08:00:00Z,Weekly pass,Transport
8.99,Audible,2024-11-22T11:00:00Z,Audiobook subscription,Subscription
55,Grocery Store,2024-11-23T15:00:00Z,Groceries,Food
125,Clothing Store,2024-11-24T10:00:00Z,New jeans,Shopping
85,Internet Provider,2024-11-25T09:00:00Z,Monthly internet service,Utilities
25,Pizzeria,2024-11-25T19:00:00Z,Pizza,Food
14,Taxi,2024-11-26T11:00:00Z,Cab fare,Transport
19.99,Spotify,2024-11-26T14:00:00Z,Premium music service,Subscription
90,Home Decor,2024-11-27T16:00:00Z,New curtains,Shopping
115,Utilities,2024-11-28T09:00:00Z,Combined bill,Utilities
6,Coffee Shop,2024-11-28T10:00:00Z,Coffee,Food
18.5,Metro,2024-11-29T08:00:00Z,Subway fare,Transport
15.99,Netflix,2024-11-29T12:00:00Z,Monthly streaming service,Subscription
75,Electronics,2024-11-30T15:00:00Z,Computer mouse,Shopping
100,Gas Company,2024-11-30T09:00:00Z,Monthly gas bill,Utilities
8.5,Restaurant,2024-11-30T19:00:00Z,Dinner,Food
22,Bus Fare,2024-12-01T07:00:00Z,Round trip ticket,Transport
